"url"	"source"	"date"	"text"
"http://www.nytimes.com/1981/06/14/nyregion/environmentalists-focus-on-education.html"	"The New York Times"	"1981-06-14T00:00:00Z"	NA
"http://www.nytimes.com/1981/06/07/nyregion/follow-up-on-the-news-controlling-gulls.html"	"The New York Times"	"1981-06-07T00:00:00Z"	NA
"http://www.nytimes.com/1981/06/01/obituaries/peggy-stuart-coolidge-composer-and-pianist.html"	"The New York Times"	"1981-06-01T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/31/nyregion/environmentalism-in-the-80-s.html"	"The New York Times"	"1981-05-31T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/28/nyregion/world-s-biggest-dump-for-garbage-just-a-monumental-problem-on-s-i.html"	"The New York Times"	"1981-05-28T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/24/nyregion/game-warden-wins-her-police-credentials.html"	"The New York Times"	"1981-05-24T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/24/nyregion/summer-agenda-enhances-state-s-program.html"	"The New York Times"	"1981-05-24T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/24/weekinreview/watt-seeks-new-trails-for-national-parks.html"	"The New York Times"	"1981-05-24T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/24/us/study-on-waterway-pleases-both-sides.html"	"The New York Times"	"1981-05-24T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/23/us/interior-chief-orders-inquiry-on-federal-park-land-deals.html"	"The New York Times"	"1981-05-23T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/17/sports/outdoors-shad-fishing-in-the-hudson.html"	"The New York Times"	"1981-05-17T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/17/nyregion/bills-seek-to-halt-barrier-isle-development.html"	"The New York Times"	"1981-05-17T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/16/us/environmentalists-confer-with-watt.html"	"The New York Times"	"1981-05-16T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/14/garden/evicting-furry-intruders-from-the-home.html"	"The New York Times"	"1981-05-14T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/10/nyregion/westchester-guide-march-for-atlanta-dead.html"	"The New York Times"	"1981-05-10T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/10/nyregion/water-rationing-a-perplexing-maze.html"	"The New York Times"	"1981-05-10T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/10/nyregion/audubon-group-gets-naturalist-s-treasure.html"	"The New York Times"	"1981-05-10T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/10/sports/outdoors.html"	"The New York Times"	"1981-05-10T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/08/us/watt-says-funds-for-park-land-should-be-used-for-restoration.html"	"The New York Times"	"1981-05-08T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/03/nyregion/modern-tale-of-7-orphan-bears-has-social-welfare-twist.html"	"The New York Times"	"1981-05-03T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/03/us/wildlife-organizations-protest-killings-in-uganda.html"	"The New York Times"	"1981-05-03T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/03/nyregion/gypsy-moth-spraying-renews-old-dispute.html"	"The New York Times"	"1981-05-03T00:00:00Z"	NA
"http://www.nytimes.com/1981/05/01/opinion/reaganvironmentalism-by-john-b-oakes.html"	"The New York Times"	"1981-05-01T00:00:00Z"	NA
"http://www.nytimes.com/1981/04/26/nyregion/connecticut-guide-114335.html"	"The New York Times"	"1981-04-26T00:00:00Z"	NA
"http://www.nytimes.com/1981/04/20/opinion/l-don-t-do-without-091971.html"	"The New York Times"	"1981-04-20T00:00:00Z"	NA
"http://www.nytimes.com/1981/04/19/us/environmentalists-seeing-threat-in-white-house-policy-plan-fight.html"	"The New York Times"	"1981-04-19T00:00:00Z"	NA
"http://www.nytimes.com/1981/04/05/magazine/a-new-ark-for-biblical-animals.html"	"The New York Times"	"1981-04-05T00:00:00Z"	NA
"http://www.nytimes.com/1981/04/05/nyregion/treasurer-said-to-sit-on-wildlife-measure.html"	"The New York Times"	"1981-04-05T00:00:00Z"	NA
"http://www.nytimes.com/1981/04/05/us/planning-of-alaska-land-use-and-oil-leases-starts.html"	"The New York Times"	"1981-04-05T00:00:00Z"	NA
"http://www.nytimes.com/1981/04/05/arts/leisure-the-postcard-campaign-to-save-wild-flowers.html"	"The New York Times"	"1981-04-05T00:00:00Z"	NA
"http://www.nytimes.com/1981/03/29/us/wildlife-group-names-new-chief.html"	"The New York Times"	"1981-03-29T00:00:00Z"	NA
"http://www.nytimes.com/1981/03/29/nyregion/two-programs-focus-on-toxic-waste-disposal.html"	"The New York Times"	"1981-03-29T00:00:00Z"	NA
"http://www.nytimes.com/1981/03/29/us/reagan-appointees-to-push-use-of-natural-resources.html"	"The New York Times"	"1981-03-29T00:00:00Z"	NA
